site,woodland,Non-agricultural unmanaged green space,Non-agricultural managed green space,arable,pasture,other agricultural,fruit,OSR,built-up area,water
BEL,21.3,1,2,41.1,13.9,3.1,3.9,11.3,2.5,0
BFI,18.5,0.1,0.4,11.8,28.3,3,3.6,2.2,31.6,0.3
HER,10.8,0.4,4.9,66.7,12,0.1,0,0,5.1,0
MEL,29.4,13.3,3.5,14.6,6.6,2.7,0.9,1.7,26.9,0.4
ROT,9.9,1.2,11.7,32.7,6.7,1.7,1.1,2.7,32.2,0
SAU,18.5,1.6,0.3,32.8,35,0.1,0,0,11.7,0
SOM,28.2,0.2,0.2,23.1,16.6,2.6,5.9,5.2,17.9,0.1
SRA,37.8,1.6,2.9,9.8,27.8,0.6,2,4.9,12.6,0
STU,11,0.1,0.4,32.8,38.8,0.7,0.6,0,15.5,0
YAL,14.1,7,1.2,22.3,31,0.6,10.8,0.8,11.5,0.8
