"","site","model","loglikelihood","AIC","delta_AIC","rAIC","wAIC","p","bs","br","as","ar","k","ks_statistic","ks_pvalue"
"1","BEL","collective",-180.8508878667,371.7017757334,0.699669026253048,0.70480471599725,0.413422551793543,0.891772092277047,0.230719049712876,5.15022712127542,0.170949141419562,0.0348234666433967,5,0.0784313725490196,0.904
"2","BEL","individual",-183.501053353574,371.002106707147,0,1,0.586577448206457,1,4.49528469419564,NA,0.0725148294310815,NA,2,0.0882352941176471,0.812
"3","BFI","collective",-190.498773813374,390.997547626748,0,1,0.999999981359132,0.0446799925167471,1e-06,2.76909000671524,0.164311775173125,0.248829863596989,5,0.0873362445414847,0.329
"4","BFI","individual",-211.296683238466,426.593366476933,35.5958188501849,1.86408686926405e-08,1.86408683451585e-08,1,9.47027132978584,NA,0.1,NA,2,0.183406113537118,0.001
"5","BLO","collective",-221.025955401987,452.051910803973,0,1,0.999998427471575,0.208537212564797,1.78583235458405,0.570998891705229,0.0677376544230179,0.359128158887899,5,0.0705882352941176,0.775
"6","BLO","individual",-237.388779601557,478.777559203114,26.725648399141,1.57253089804363e-06,1.57252842519409e-06,1,5504.9998948909,NA,0.000122182060472256,NA,2,0.111764705882353,0.197
"7","BUR","collective",-118.304660414165,246.609320828331,0,1,0.999999999815444,0.112173695335372,1e-06,500,0.151343429213869,0.0275122643295334,5,0.0670731707317073,0.833
"8","BUR","individual",-143.717729015855,291.43545803171,44.8261372033795,1.84555921337966e-10,1.84555921303905e-10,1,10,NA,0.1,NA,2,0.176829268292683,0.013
"9","CAD","collective",-48.2782332945481,106.556466589096,2.65022026976727,0.265773686522952,0.209969356570388,0.165520962845085,1e-06,0.424695897651509,1.45643577802767,0.386127108104001,5,0.0821917808219178,0.943
"10","CAD","individual",-49.9531231596645,103.906246319329,0,1,0.790030643429612,1,1e-06,NA,0.385444524971807,NA,2,0.10958904109589,0.747
"11","GIL","collective",-74.5409381631735,159.081876326347,0,1,0.99999999998249,0.261479951169502,1e-06,1.82324476979267e-06,0.334515958874506,0.754213154206641,5,0.130208333333333,0.064
"12","GIL","individual",-102.309186303466,208.618372606933,49.5364962805855,1.75100145217147e-11,1.75100145214081e-11,1,2.03650511546583,NA,0.34501899937968,NA,2,0.197916666666667,0.001
"13","HER","collective",-235.18014108561,480.36028217122,0,1,0.984354005490864,0.63816625875245,1e-06,1e-06,0.177795686376956,0.429106372602382,5,0.11046511627907,0.23
"14","HER","individual",-242.321911737322,488.643823474644,8.28354130342404,0.0158946826262308,0.0156459945091364,1,0.548417248691931,NA,0.18262911186511,NA,2,0.13953488372093,0.072
"15","HHS","collective",-61.3479736074986,132.695947214997,0,1,0.999999996248757,0.0953653083782702,1e-06,1e-06,0.14105849108782,0.502966394591593,5,0.133333333333333,0.369
"16","HHS","individual",-83.7491521170622,171.498304234124,38.8023570191272,3.75124328380689e-09,3.75124326973507e-09,1,7.09517289323837,NA,0.125151220423303,NA,2,0.244444444444444,0.009
"17","HOR","collective",-146.040280632917,302.080561265834,0,1,1,0.0224734037523815,1e-06,10,0.212655584043379,0.202514114469767,5,0.065989847715736,0.335
"18","HOR","individual",-213.58385247123,431.16770494246,129.087143676625,9.31285644097949e-29,9.31285644097949e-29,1,4.34254076181828,NA,0.254730187674146,NA,2,0.185279187817259,0
"19","MAK","collective",-84.5187544361636,179.037508872327,0,1,0.999972624015383,0.20934541121167,2.31936580618492,0.0201562967069614,0.122172909668717,0.477619645869148,5,0.0909090909090909,0.77
"20","MAK","individual",-98.0245714625193,200.049142925039,21.0116340527114,2.73767340824643e-05,2.73759846174132e-05,1,9.16836901343261,NA,0.0961026422256943,NA,2,0.191919191919192,0.048
"21","MEL","collective",-115.316397228082,240.632794456163,0,1,0.99999997264724,0.0792579437008299,1e-06,3.00413903148902e-06,0.212939972422004,0.33772058412018,5,0.16260162601626,0.078
"22","MEL","individual",-135.730845604124,275.461691208247,34.8288967520841,2.73527606305106e-08,2.73527598823371e-08,1,1e-06,NA,0.252086118620189,NA,2,0.24390243902439,0.001
"23","MPA","collective",-181.872875107972,373.745750215943,0,1,0.959493599943959,0.566962035170755,0.578362719347344,1.0004964745514e-06,0.185364110296573,0.41999195802657,5,0.0666666666666667,0.888
"24","MPA","individual",-188.037820765495,380.075641530991,6.32989131504723,0.0422164358974435,0.0405064000560415,1,1.47385365081801,NA,0.186665581868989,NA,2,0.1,0.429
"25","ROT","collective",-138.129365626319,286.258731252639,0,1,0.999995096881213,0.309662065003638,1e-06,1e-06,0.314530087333165,0.482899157092359,5,0.149484536082474,0.016
"26","ROT","individual",-153.354999791371,310.709999582742,24.4512683301031,4.90314282766489e-06,4.90311878697318e-06,1,1e-06,NA,0.353794433342877,NA,2,0.201030927835052,0.002
"27","SAU","collective",-108.184819029863,226.369638059726,0,1,0.986845034765948,0.308954079378129,1e-06,9.99812631325482,0.262235950756576,0.163732828963107,5,0.0606060606060606,0.954
"28","SAU","individual",-115.502532778958,235.005065557916,8.63542749819044,0.0133303251985984,0.0131549652340522,1,1.48852776136439,NA,0.271038898981071,NA,2,0.128787878787879,0.208
"29","SOM","collective",-70.5359732052166,151.071946410433,0,1,0.958327914963195,0.00207922956709442,10,10,1.5,0.148646205165226,5,0.107142857142857,0.528
"30","SOM","individual",-76.6713317347496,157.342663469499,6.27071705906596,0.0434841606783472,0.041672085036805,1,1.00000000000006e-06,NA,0.377197152740305,NA,2,0.160714285714286,0.08
"31","SRA","collective",-123.370963250942,256.741926501885,0,1,0.999992057201952,0.246874874173333,0.0960932025503685,0.208157283815937,0.212641260930464,0.49199682114775,5,0.051948051948052,0.979
"32","SRA","individual",-138.114200253858,280.228400507717,23.4864740058321,7.94286113689995e-06,7.94279804835802e-06,1,3.00201457969984,NA,0.213365173671068,NA,2,0.142857142857143,0.081
"33","STU","collective",-155.699851243803,321.399702487605,4.31908153887474,0.115378094020758,0.103443033926584,0.351889069322179,1.0030018939579e-06,1.02814099369715,0.521456151157498,0.155743463860504,5,0.0454545454545455,1
"34","STU","individual",-156.540310474365,317.08062094873,0,1,0.896556966073416,1,1.34656449200754,NA,0.161238254493647,NA,2,0.0545454545454545,0.995
"35","SWP","collective",-40.4238246854205,90.847649370841,0,1,0.953333638242688,0,0.128755700746791,1.27471335493236,0.365369210774171,0.384175485961339,5,0.1,0.722
"36","SWP","individual",-46.4407660202533,96.8815320405066,6.03388266966553,0.0489507134599105,0.0466663617573118,1,1e-06,NA,0.423643681117113,NA,2,0.144444444444444,0.277
"37","YAL","collective",-256.217863545338,522.435727090676,0,1,0.999999644421834,0.152626434946251,0.994055101393941,0.252717459640556,0.189041705995997,0.286529708483802,5,0.0646551724137931,0.715
"38","YAL","individual",-274.067383925962,552.134767851925,29.6990407612484,3.55578292236491e-07,3.55578165800614e-07,1,0.590094310736523,NA,0.213133155646167,NA,2,0.0948275862068965,0.236
"39","ZSL","collective",-150.273137788165,310.546275576331,0,1,0.999999999999564,0.0522739318342761,1.00611999685247e-06,9.99999999166319,0.373631295476506,0.199706142146769,5,0.0481012658227848,0.71
"40","ZSL","individual",-181.73375320197,367.46750640394,56.9212308276092,4.36226228333583e-13,4.36226228333392e-13,1,0.965096572808133,NA,0.423506743763541,NA,2,0.121518987341772,0.003
