ms,mr,p,p_trips,site
6.49032,2.31096,0.6487,0.396679,BEL
2.01966,1.58882,0.045,0.0357436,BFI
4.29525,1.17108,0.2091,0.067236,BLO
2.19284,0.0135,0.112,0.000775882,BUR
0.153,1.13499,0.165,0.594465,CAD
0.111333,0.377,0.261,0.544616,GIL
0.126,2.6141,0.277,0.888251,HER
0.047,0.2515,0.096,0.362348,HHS
0.0726667,0.675868,0.056,0.355566,HOR
2.59014,1.03948,0.2092,0.0959767,MAK
0.071,0.169,0.08,0.171487,MEL
1.63519,0.21,0.567,0.143959,MPA
0.104667,0.2415,0.306,0.5043,ROT
0.0873333,0.915362,0.31,0.824837,SAU
0.059263,1.00671,0.002,0.0329217,SOM
0.0713333,0.950698,0.243,0.810541,SRA
0.173667,2.38739,0.352,0.881901,STU
159.921,0.911008,0.,0.,SWP
0.0603333,1.66983,0.08,0.706458,YAL
0.128667,0.789989,0.24,0.659735,ZSL
