"","site","model","loglikelihood","AIC","delta_AIC","rAIC","wAIC","p","bs","br","as","ar","k","ks_statistic","ks_pvalue"
"1","BEL","collective",-181.414781163954,372.829562327909,1.82745562076161,0.40102648343369,0.286237618043336,0.647579386902726,7.04185040506101,0.814497591996228,0.051486245329406,0.169812693049402,5,0.0980392156862745,0.71
"2","BEL","individual",-183.501053353574,371.002106707147,0,1,0.713762381956665,1,4.49528474724325,NA,0.0725148294473208,NA,2,0.0882352941176471,0.785
"3","BFI","collective",-190.498934869745,390.997869739489,0,1,0.999999981356129,0.0445422935718855,1.01692008763273e-06,2.81805633943034,0.164509670752141,0.247128460981989,5,0.0873362445414847,0.326
"4","BFI","individual",-211.296683238466,426.593366476933,35.5954967374438,1.86438711650733e-08,1.86438708174794e-08,1,9.47027122862723,NA,0.1,NA,2,0.183406113537118,0.001
"5","BLO","collective",-221.025955401987,452.051910803973,0,1,0.999998427471575,0.208537194370401,1.7858319192019,0.570998886846958,0.0677376582059512,0.359128163122332,5,0.0705882352941176,0.762
"6","BLO","individual",-237.388779601557,478.777559203115,26.7256483991413,1.5725308980434e-06,1.57252842519387e-06,1,5505,NA,0.000122182056858744,NA,2,0.111764705882353,0.239
"7","BUR","collective",-118.304920796703,246.609841593407,0,1,0.999999999815396,0.11243853455918,1e-06,500,0.151567086635146,0.0274890275503506,5,0.0670731707317073,0.824
"8","BUR","individual",-143.717729015855,291.43545803171,44.8256164383036,1.84603982734057e-10,1.84603982699978e-10,1,10,NA,0.1,NA,2,0.176829268292683,0.006
"9","CAD","collective",-48.2783549083227,106.556709816645,2.65046227553289,0.265741529086319,0.209949285047276,0.165076037603254,1e-06,0.430165757900233,1.45865549087448,0.385822902796497,5,0.0821917808219178,0.949
"10","CAD","individual",-49.9531237705562,103.906247541112,0,1,0.790050714952724,1,1e-06,NA,0.385442245633575,NA,2,0.10958904109589,0.738
"11","GIL","collective",-74.5422400715442,159.084480143088,0,1,0.999999999982467,0.260729582471317,1.0124532868941e-06,8.75415014439518e-05,0.33420080365367,0.75442367251483,5,0.135416666666667,0.064
"12","GIL","individual",-102.309186303466,208.618372606933,49.5338924638441,1.75328258020681e-11,1.75328258017607e-11,1,2.03650514534265,NA,0.345018998285728,NA,2,0.197916666666667,0.001
"13","HER","collective",-136.968157629031,283.936315258062,2.0759086322517,0.35417847857903,0.261544902818628,0.276671447565694,1.00124221874171e-06,0.158667982330041,0.37797200396184,0.18236682486124,5,0.0786516853932584,0.946
"14","HER","individual",-138.930203312905,281.86040662581,0,1,0.738455097181372,1,1e-06,NA,0.175113638453515,NA,2,0.112359550561798,0.593
"15","HHS","collective",-61.3479532358118,132.695906471624,0,1,0.999999996248833,0.0955449354306335,1e-06,1.00000001586277e-06,0.141089069989871,0.502927784465094,5,0.133333333333333,0.364
"16","HHS","individual",-83.7491521170622,171.498304234124,38.8023977625008,3.75116686543209e-09,3.75116685136084e-09,1,7.09517285059344,NA,0.12515122040021,NA,2,0.244444444444444,0.005
"17","HOR","collective",-40.5019735388077,91.0039470776154,0,1,0.99999805442235,0.0556822635034957,1e-06,0.53834600365023,0.218211324391188,0.628300015849719,5,0.0533333333333333,0.966
"18","HOR","individual",-56.6519232256489,117.303846451298,26.2998993736823,1.94558143582209e-06,1.94557765054233e-06,1,7.77487491992131,NA,0.201935845314424,NA,2,0.166666666666667,0.021
"19","MAK","collective",-84.5187544361632,179.037508872326,0,1,0.999972624015383,0.209345429922845,2.31936558536482,0.0201562832958428,0.122172925111764,0.477619647863272,5,0.0909090909090909,0.793
"20","MAK","individual",-98.0245714625193,200.049142925039,21.0116340527122,2.7376734082453e-05,2.73759846174019e-05,1,9.16836834809297,NA,0.0961026497264307,NA,2,0.191919191919192,0.033
"21","MEL","collective",-115.316278569088,240.632557138176,0,1,0.999999972650528,0.0797244281388431,1.00362145038736e-06,1e-06,0.212848264137603,0.337789327552542,5,0.16260162601626,0.07
"22","MEL","individual",-135.730847166071,275.461694332141,34.8291371939657,2.73494724535515e-08,2.73494717055579e-08,1,1e-06,NA,0.252081799154761,NA,2,0.24390243902439,0
"23","MPA","collective",-181.872875113256,373.745750226511,0,1,0.959493599738595,0.566959348460867,0.578324067996334,1e-06,0.185364647037762,0.419991794861186,5,0.0666666666666667,0.871
"24","MPA","individual",-188.037820765495,380.075641530991,6.32989130447936,0.0422164361205125,0.040506400261405,1,1.47385361530237,NA,0.186665583485457,NA,2,0.1,0.427
"25","ROT","collective",-138.129351263572,286.258702527145,0,1,0.999995096953171,0.305971587193929,1e-06,1e-06,0.314186431245997,0.48321907387984,5,0.149484536082474,0.021
"26","ROT","individual",-153.355000104846,310.710000209693,24.4512976825479,4.90307086857817e-06,4.9030468285921e-06,1,1e-06,NA,0.353796078694896,NA,2,0.201030927835052,0.001
"27","SAU","collective",-108.184937082165,226.369874164329,0,1,0.986843502133257,0.30980562594957,1.00030140881587e-06,9.98310173137107,0.26215708186432,0.16397688342478,5,0.0606060606060606,0.956
"28","SAU","individual",-115.502532778958,235.005065557916,8.63519139358687,0.0133318989670633,0.0131564978667435,1,1.48852774047392,NA,0.271038899197657,NA,2,0.128787878787879,0.21
"29","SOM","collective",-70.5359732052166,151.071946410433,0,1,0.958327938316112,0.00207922625941147,10,9.99999999999371,1.5,0.14864620679796,5,0.107142857142857,0.504
"30","SOM","individual",-76.6713323195153,157.342664639031,6.27071822859736,0.043484135250309,0.0416720616838876,1,1e-06,NA,0.377220311550816,NA,2,0.160714285714286,0.095
"31","SRA","collective",-123.370515962178,256.741031924355,0,1,0.999992060753853,0.242815566731446,1.16458046501026e-06,0.213756981128659,0.213620390629299,0.492059235485262,5,0.051948051948052,0.984
"32","SRA","individual",-138.114200253858,280.228400507717,23.4873685833618,7.93930917878749e-06,7.93924614665769e-06,1,3.00201464543198,NA,0.213365171438717,NA,2,0.142857142857143,0.074
"33","STU","collective",-155.700392671906,321.400785343812,4.32016439508175,0.115315641986295,0.103392831271447,0.351610832653865,1.0092070283984e-06,1.01824530949136,0.521467104192915,0.155977746197465,5,0.0454545454545455,1
"34","STU","individual",-156.540310474365,317.08062094873,0,1,0.896607168728553,1,1.34656435208895,NA,0.16123825638236,NA,2,0.0545454545454545,0.997
"35","SWP","collective",-40.4238246854205,90.847649370841,0,1,0.953333653774133,0,0.246632626894966,1.27471337394435,0.00162777642279792,0.384175484053749,5,0.1,0.708
"36","SWP","individual",-46.4407663693639,96.8815327387278,6.03388336788677,0.0489506963706995,0.0466663462258671,1,1e-06,NA,0.423627794921994,NA,2,0.144444444444444,0.308
"37","YAL","collective",-205.760236777346,421.520473554693,0,1,0.999998846335632,0.0800589738275266,1.00002579797685e-06,0.297932044024371,0.181373265968736,0.273023084099054,5,0.043956043956044,0.992
"38","YAL","individual",-222.432802898228,448.865605796455,27.3451322417629,1.15366569885349e-06,1.15366436791048e-06,1,0.216811287088518,NA,0.212833309856539,NA,2,0.0989010989010989,0.335
"39","ZSL","collective",-110.007607535065,230.015215070129,0,1,0.999033128598334,0.240164858981848,1e-06,0.794096098069074,0.385740570812903,0.5,5,0.0361990950226244,0.997
"40","ZSL","individual",-119.948085254198,243.896170508396,13.8809554382665,0.000967807146718196,0.000966871401665706,1,0.391813435851421,NA,0.419446292277429,NA,2,0.0950226244343891,0.251
